File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Index.cpp,"Index::writeToStorage(Storage& aStorage, uint32_t startBlockNum)",39,35,32,5,1,7,3,88,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Index.cpp,Index::dropIndex(Storage &aStorage),5,5,5,2,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Index.cpp,Index::decodeFromBlock(Block& aBlock),23,13,13,2,2,2,8,101,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Index.cpp,"Index::addKeyValue(const Value &aKey, uint32_t aValue)",6,6,6,2,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Index.cpp,Index::removeKeyValue(const Value &aKey),6,6,5,2,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Index.cpp,Index::addBlockNum(uint32_t theBlockNum),3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Index.cpp,Index::isDirty(),2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Index.cpp,Index::contains(const Value &aKey),5,5,4,3,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Index.cpp,Index::getValue(const Value &aKey),5,5,4,3,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Index.cpp,"Index::each(Storage& aStorage, StorageCallback aCallback)",13,12,11,4,1,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\main.cpp,showError(ECE141::StatusResult &aResult),9,9,8,1,0,1,0,2,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\main.cpp,"handleInput(std::istream &aStream, ECE141::IInterpreter &aProcessor)",11,10,8,3,0,2,1,17,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\main.cpp,"main(int argc, const char * argv[])",29,27,22,8,2,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,BufferReader::BufferReader(),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,"BufferReader::BufferReader(char* aBuffer, size_t aSize, size_t aMax)",5,5,5,0,0,2,0,7,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,BufferReader::close(),3,3,3,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,BufferReader::eof() const,2,2,2,1,0,0,0,0,
